,day,subscribedStatus,views,redViews,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration
0,2021-01-14,UNSUBSCRIBED,31,0,43,0,84
1,2021-01-14,SUBSCRIBED,106,8,391,22,221
2,2021-01-21,UNSUBSCRIBED,32,0,69,0,130
3,2021-01-21,SUBSCRIBED,62,1,388,2,376
4,2021-01-29,UNSUBSCRIBED,24,2,58,1,146
5,2021-01-29,SUBSCRIBED,59,2,344,0,350
6,2021-02-04,UNSUBSCRIBED,15,0,20,0,83
7,2021-02-04,SUBSCRIBED,25,0,115,0,277
8,2021-02-12,UNSUBSCRIBED,7,0,42,0,365
9,2021-02-12,SUBSCRIBED,13,0,94,0,435
10,2021-02-18,UNSUBSCRIBED,52,1,370,0,428
11,2021-02-18,SUBSCRIBED,136,13,497,58,219
12,2021-02-23,UNSUBSCRIBED,16,0,84,0,316
13,2021-02-23,SUBSCRIBED,53,4,255,2,288
14,2021-02-25,UNSUBSCRIBED,39,1,55,0,85
15,2021-02-25,SUBSCRIBED,74,1,196,0,159
16,2021-03-02,UNSUBSCRIBED,13,0,30,0,140
17,2021-03-02,SUBSCRIBED,50,1,130,0,157
18,2021-03-04,UNSUBSCRIBED,23,1,72,0,189
19,2021-03-04,SUBSCRIBED,41,2,61,1,90
20,2021-03-09,UNSUBSCRIBED,12,0,10,0,52
21,2021-03-09,SUBSCRIBED,22,1,20,2,57
22,2021-03-12,UNSUBSCRIBED,26,1,148,0,343
23,2021-03-12,SUBSCRIBED,71,5,403,19,340
24,2021-03-17,UNSUBSCRIBED,1,0,10,0,630
25,2021-03-17,SUBSCRIBED,19,1,64,6,205
